symbol	class	
ENSG00000243485	MIR1302-2HG	lincRNA
ENSG00000237613	FAM138A	lincRNA
ENSG00000186092	OR4F5	protein_coding
ENSG00000238009	AL627309	lincRNA
ENSG00000222623	RNU6-1100P	snRNA
ENSG00000241599	AL627309	lincRNA
ENSG00000236601	AL732372	lincRNA
ENSG00000235146	AC114498	lincRNA
ENSG00000223181	RNU6-1199P	snRNA
ENSG00000237491	AL669831	lincRNA
ENSG00000177757	FAM87B	lincRNA
ENSG00000225880	LINC00115	lincRNA
ENSG00000230368	FAM41C	lincRNA
ENSG00000272438	AL645608	lincRNA
ENSG00000230699	AL645608	lincRNA
ENSG00000241180	AL645608	lincRNA
ENSG00000223764	LINC02593	lincRNA
ENSG00000187634	SAMD11	protein_coding
ENSG00000188976	NOC2L	protein_coding
ENSG00000187961	KLHL17	protein_coding
ENSG00000187583	PLEKHN1	protein_coding
ENSG00000187642	PERM1	protein_coding
ENSG00000272512	AL645608	lincRNA
ENSG00000188290	HES4	protein_coding
ENSG00000187608	ISG15	protein_coding
ENSG00000188157	AGRN	protein_coding
ENSG00000273443	AL645608	lincRNA
ENSG00000237330	RNF223	protein_coding
ENSG00000131591	C1orf159	protein_coding
ENSG00000223823	LINC01342	lincRNA
ENSG00000207730	MIR200B	miRNA
ENSG00000207607	MIR200A	miRNA
ENSG00000198976	MIR429	miRNA
ENSG00000272141	AL390719	lincRNA
ENSG00000162571	TTLL10	protein_coding
ENSG00000186891	TNFRSF18	protein_coding
ENSG00000186827	TNFRSF4	protein_coding
ENSG00000078808	SDF4	protein_coding
ENSG00000176022	B3GALT6	protein_coding
ENSG00000184163	C1QTNF12	protein_coding
ENSG00000260179	AL162741	lincRNA
ENSG00000160087	UBE2J2	protein_coding
ENSG00000230415	LINC01786	lincRNA
ENSG00000162572	SCNN1D	protein_coding
ENSG00000131584	ACAP3	protein_coding
ENSG00000169972	PUSL1	protein_coding
ENSG00000127054	INTS11	protein_coding
ENSG00000224051	CPTP	protein_coding
ENSG00000169962	TAS1R3	protein_coding
ENSG00000107404	DVL1	protein_coding
ENSG00000162576	MXRA8	protein_coding
ENSG00000175756	AURKAIP1	protein_coding
ENSG00000221978	CCNL2	protein_coding
ENSG00000242485	MRPL20	protein_coding
ENSG00000272455	AL391244	lincRNA
ENSG00000235098	ANKRD65	protein_coding
ENSG00000205116	TMEM88B	protein_coding
ENSG00000225285	LINC01770	lincRNA
ENSG00000179403	VWA1	protein_coding
ENSG00000215915	ATAD3C	protein_coding
ENSG00000160072	ATAD3B	protein_coding
ENSG00000197785	ATAD3A	protein_coding
ENSG00000205090	TMEM240	protein_coding
ENSG00000160075	SSU72	protein_coding
ENSG00000228594	FNDC10	protein_coding
ENSG00000197530	MIB2	protein_coding
ENSG00000189409	MMP23B	protein_coding
ENSG00000248333	CDK11B	protein_coding
ENSG00000189339	SLC35E2B	protein_coding
ENSG00000008128	CDK11A	protein_coding
ENSG00000215790	SLC35E2A	protein_coding
ENSG00000008130	NADK	protein_coding
ENSG00000078369	GNB1	protein_coding
ENSG00000169885	CALML6	protein_coding
ENSG00000178821	TMEM52	protein_coding
ENSG00000142609	CFAP74	protein_coding
ENSG00000187730	GABRD	protein_coding
ENSG00000067606	PRKCZ	protein_coding
ENSG00000162585	FAAP20	protein_coding
ENSG00000234396	AL590822	lincRNA
ENSG00000157933	SKI	protein_coding
ENSG00000116151	MORN1	protein_coding
ENSG00000157916	RER1	protein_coding
ENSG00000157911	PEX10	protein_coding
ENSG00000149527	PLCH2	protein_coding
ENSG00000157881	PANK4	protein_coding
ENSG00000197921	HES5	protein_coding
ENSG00000272449	AL139246	lincRNA
ENSG00000157873	TNFRSF14	protein_coding
ENSG00000228037	AL139246	lincRNA
ENSG00000157870	PRXL2B	protein_coding
ENSG00000142606	MMEL1	protein_coding
ENSG00000215912	TTC34	protein_coding
ENSG00000233234	AL592464	lincRNA
ENSG00000231630	AL592464	lincRNA
ENSG00000169717	ACTRT2	protein_coding
ENSG00000142611	PRDM16	protein_coding
ENSG00000272235	AL590438	lincRNA
ENSG00000130762	ARHGEF16	protein_coding
ENSG00000272088	AL512413	lincRNA
ENSG00000162591	MEGF6	protein_coding
ENSG00000207776	MIR551A	miRNA
ENSG00000158109	TPRG1L	protein_coding
ENSG00000116213	WRAP73	protein_coding
ENSG00000078900	TP73	protein_coding
ENSG00000162592	CCDC27	protein_coding
ENSG00000235169	SMIM1	protein_coding
ENSG00000130764	LRRC47	protein_coding
ENSG00000116198	CEP104	protein_coding
ENSG00000169598	DFFB	protein_coding
ENSG00000198912	C1orf174	protein_coding
ENSG00000236423	LINC01134	lincRNA
ENSG00000233304	LINC01346	lincRNA
ENSG00000226374	LINC01345	lincRNA
ENSG00000235054	LINC01777	lincRNA
ENSG00000227169	Z98747	lincRNA
ENSG00000232596	LINC01646	lincRNA
ENSG00000196581	AJAP1	protein_coding
ENSG00000231510	AL691497	lincRNA
ENSG00000260972	Z98259	lincRNA
ENSG00000236948	AL365255	lincRNA
ENSG00000264341	MIR4417	miRNA
ENSG00000264101	MIR4689	miRNA
ENSG00000131697	NPHP4	protein_coding
ENSG00000069424	KCNAB2	protein_coding
ENSG00000116254	CHD5	protein_coding
ENSG00000116251	RPL22	protein_coding
ENSG00000158286	RNF207	protein_coding
ENSG00000116237	ICMT	protein_coding
ENSG00000225077	LINC00337	lincRNA
ENSG00000173673	HES3	protein_coding
ENSG00000158292	GPR153	protein_coding
ENSG00000097021	ACOT7	protein_coding
ENSG00000069812	HES2	protein_coding
ENSG00000187017	ESPN	protein_coding
ENSG00000265392	MIR4252	miRNA
ENSG00000215788	TNFRSF25	protein_coding
ENSG00000171680	PLEKHG5	protein_coding
ENSG00000162408	NOL9	protein_coding
ENSG00000253022	RNU6-731P	snRNA
ENSG00000173662	TAS1R1	protein_coding
ENSG00000204859	ZBTB48	protein_coding
